"continuation_type","adverb_type","negation_position","observations"
"match","temporal","second_clause",49
"mismatch","temporal","second_clause",49
"match","manner","second_clause",49
"mismatch","manner","second_clause",49
"match","ideophone","second_clause",49
"mismatch","ideophone","second_clause",49
"match","temporal","first_clause",49
"mismatch","temporal","first_clause",49
"match","manner","first_clause",49
"mismatch","manner","first_clause",49
"match","ideophone","first_clause",49
"mismatch","ideophone","first_clause",49
